Date	Price	Open	High	Low	Change %
20-Jun-17	6.446	6.468	6.468	6.446	-0.32
19-Jun-17	6.467	6.477	6.477	6.467	-0.34
16-Jun-17	6.489	6.493	6.493	6.489	0.12
15-Jun-17	6.481	6.452	6.481	6.452	0.15
14-Jun-17	6.471	6.482	6.482	6.471	-0.34
13-Jun-17	6.493	6.47	6.493	6.47	-0.35
12-Jun-17	6.516	6.52	6.52	6.516	0.2
9-Jun-17	6.503	6.525	6.525	6.503	-0.44
8-Jun-17	6.532	6.507	6.532	6.507	-0.52
7-Jun-17	6.566	6.629	6.629	6.566	-1.1
6-Jun-17	6.639	6.644	6.644	6.639	-0.11
5-Jun-17	6.646	6.639	6.646	6.639	0.29
2-Jun-17	6.627	6.623	6.627	6.623	0.02
1-Jun-17	6.626	6.648	6.648	6.626	-0.57
31-May-17	6.664	6.666	6.666	6.664	0
30-May-17	6.664	6.667	6.667	6.664	-0.06
29-May-17	6.668	6.661	6.668	6.661	-1.8
26-May-17	6.79	6.788	6.79	6.788	0
25-May-17	6.79	6.786	6.79	6.786	-0.18
24-May-17	6.802	6.796	6.802	6.796	0.13
23-May-17	6.793	6.768	6.793	6.768	0.3
22-May-17	6.773	6.813	6.813	6.773	-1.25
19-May-17	6.859	6.862	6.862	6.859	0.23
18-May-17	6.843	6.852	6.852	6.843	-0.01
17-May-17	6.844	6.841	6.844	6.841	0.07
16-May-17	6.839	6.837	6.839	6.837	0.46
15-May-17	6.808	6.847	6.847	6.808	-1.48
12-May-17	6.91	6.936	6.936	6.91	-0.48
11-May-17	6.943	6.93	6.943	6.93	0
9-May-17	6.943	6.944	6.944	6.943	0.19
8-May-17	6.93	6.93	6.93	6.93	-0.19
7-May-17	6.943	6.943	6.943	6.943	0
5-May-17	6.943	6.938	6.943	6.938	-0.4
4-May-17	6.971	6.967	6.971	6.967	0.23
3-May-17	6.955	6.958	6.958	6.955	-0.53
2-May-17	6.992	6.987	6.992	6.987	0.4
28-Apr-17	6.964	6.936	6.964	6.936	0.27
27-Apr-17	6.945	6.952	6.952	6.945	-0.12
26-Apr-17	6.953	6.951	6.953	6.951	0.25
25-Apr-17	6.936	6.926	6.936	6.926	-0.1
24-Apr-17	6.943	6.942	6.943	6.942	0.29
22-Apr-17	6.923	6.923	6.923	6.923	0
21-Apr-17	6.923	6.942	6.942	6.923	0.65
20-Apr-17	6.878	6.86	6.878	6.86	0.35
19-Apr-17	6.854	6.856	6.856	6.854	-0.12
18-Apr-17	6.862	6.847	6.862	6.847	0.22
17-Apr-17	6.847	6.85	6.85	6.847	0.4
13-Apr-17	6.82	6.762	6.82	6.762	0.56
12-Apr-17	6.782	6.821	6.821	6.782	-0.38
11-Apr-17	6.808	6.853	6.853	6.808	-0.83
10-Apr-17	6.865	6.868	6.868	6.865	0.65
7-Apr-17	6.821	6.824	6.824	6.821	0.78
6-Apr-17	6.768	6.696	6.768	6.696	1.71
5-Apr-17	6.654	6.656	6.656	6.654	0
3-Apr-17	6.654	6.61	6.654	6.61	-0.6
31-Mar-17	6.694	6.682	6.694	6.682	0.09
30-Mar-17	6.688	6.714	6.714	6.688	-0.9
29-Mar-17	6.749	6.711	6.749	6.711	0.57
27-Mar-17	6.711	6.737	6.737	6.711	-1.76
26-Mar-17	6.831	6.831	6.831	6.831	0
24-Mar-17	6.831	6.837	6.837	6.831	0.06
23-Mar-17	6.827	6.818	6.827	6.818	0.19
22-Mar-17	6.814	6.856	6.856	6.814	-1.05
21-Mar-17	6.886	6.873	6.886	6.873	-0.12
20-Mar-17	6.894	6.859	6.894	6.859	0.51
18-Mar-17	6.859	6.859	6.859	6.859	0
17-Mar-17	6.859	6.866	6.866	6.859	0.23
16-Mar-17	6.843	6.788	6.843	6.788	0.21
15-Mar-17	6.829	6.868	6.868	6.829	-1.1
14-Mar-17	6.905	6.9	6.905	6.9	0.03
10-Mar-17	6.903	6.881	6.903	6.881	0.61
9-Mar-17	6.861	6.854	6.861	6.854	0
8-Mar-17	6.861	6.842	6.861	6.842	0.4
7-Mar-17	6.834	6.857	6.857	6.834	-0.48
6-Mar-17	6.867	6.842	6.867	6.842	1.3
3-Mar-17	6.779	6.791	6.791	6.779	-0.92
2-Mar-17	6.842	6.837	6.842	6.837	-1.28
1-Mar-17	6.931	6.925	6.931	6.925	0.87
28-Feb-17	6.871	6.902	6.902	6.871	-0.15
27-Feb-17	6.881	6.886	6.886	6.881	-0.49
23-Feb-17	6.915	6.927	6.927	6.915	-0.39
22-Feb-17	6.942	6.926	6.942	6.926	0.56
20-Feb-17	6.903	6.849	6.903	6.849	0.76
17-Feb-17	6.851	6.855	6.855	6.851	0.09
16-Feb-17	6.845	6.861	6.861	6.845	-0.25
15-Feb-17	6.862	6.867	6.867	6.862	-0.17
14-Feb-17	6.874	6.87	6.874	6.87	0.67
13-Feb-17	6.828	6.801	6.828	6.801	0.34
10-Feb-17	6.805	6.779	6.805	6.779	-0.76
9-Feb-17	6.857	6.806	6.857	6.806	1.57
8-Feb-17	6.751	6.429	6.751	6.429	4.98
7-Feb-17	6.431	6.413	6.431	6.413	0.28
6-Feb-17	6.413	6.405	6.413	6.405	0.05
3-Feb-17	6.41	6.408	6.41	6.408	0.12
2-Feb-17	6.402	6.408	6.408	6.402	-0.45
1-Feb-17	6.431	6.398	6.431	6.398	0.34
31-Jan-17	6.409	6.406	6.409	6.406	0.06
30-Jan-17	6.405	6.396	6.405	6.396	0.05
27-Jan-17	6.402	6.449	6.449	6.402	-0.39
25-Jan-17	6.427	6.427	6.427	6.427	-0.12
24-Jan-17	6.435	6.439	6.439	6.435	-0.26
23-Jan-17	6.452	6.437	6.452	6.437	-0.22
20-Jan-17	6.466	6.473	6.473	6.466	-0.15
19-Jan-17	6.476	6.478	6.478	6.476	0.34
18-Jan-17	6.454	6.429	6.454	6.429	0.5
17-Jan-17	6.422	6.419	6.422	6.419	-0.26
16-Jan-17	6.439	6.439	6.439	6.439	0.34
13-Jan-17	6.417	6.395	6.417	6.395	0.71
12-Jan-17	6.372	6.377	6.377	6.372	-0.34
11-Jan-17	6.394	6.387	6.394	6.387	-0.06
10-Jan-17	6.398	6.382	6.398	6.382	0.02
9-Jan-17	6.397	6.397	6.397	6.397	0.16
6-Jan-17	6.387	6.385	6.387	6.385	0.02
5-Jan-17	6.386	6.359	6.386	6.359	0.33
4-Jan-17	6.365	6.4	6.4	6.365	-1.24
3-Jan-17	6.445	6.344	6.445	6.344	0.61
2-Jan-17	6.406	6.454	6.454	6.406	-1.69
30-Dec-16	6.516	6.505	6.516	6.505	-0.11
29-Dec-16	6.523	6.556	6.556	6.523	-0.94
28-Dec-16	6.585	6.585	6.585	6.585	-0.09
27-Dec-16	6.591	6.569	6.591	6.569	0.26
26-Dec-16	6.574	6.571	6.574	6.571	0.46
23-Dec-16	6.544	6.515	6.544	6.515	0.43
22-Dec-16	6.516	6.477	6.516	6.477	0.82
21-Dec-16	6.463	6.47	6.47	6.463	-0.26
20-Dec-16	6.48	6.481	6.481	6.48	-0.46
19-Dec-16	6.51	6.496	6.51	6.496	0.06
16-Dec-16	6.506	6.459	6.506	6.459	-0.46
15-Dec-16	6.536	6.451	6.536	6.451	2
14-Dec-16	6.408	6.417	6.417	6.408	-0.23
13-Dec-16	6.423	6.449	6.449	6.423	-0.28
9-Dec-16	6.441	6.423	6.441	6.423	0.66
8-Dec-16	6.399	6.43	6.43	6.399	-0.11
7-Dec-16	6.406	6.183	6.406	6.183	3.29
6-Dec-16	6.202	6.206	6.206	6.202	-0.24
5-Dec-16	6.217	6.209	6.217	6.209	-0.38
2-Dec-16	6.241	6.233	6.241	6.233	0.42
1-Dec-16	6.215	6.219	6.219	6.215	-0.5
30-Nov-16	6.246	6.242	6.246	6.242	-1.17
29-Nov-16	6.32	6.324	6.324	6.32	-0.09
28-Nov-16	6.326	6.321	6.326	6.321	1.49
25-Nov-16	6.233	6.185	6.233	6.185	0.74
24-Nov-16	6.187	6.264	6.264	6.187	-1.48
23-Nov-16	6.28	6.282	6.282	6.28	-0.46
22-Nov-16	6.309	6.321	6.321	6.309	0.08
21-Nov-16	6.304	6.37	6.37	6.304	-1.93
18-Nov-16	6.428	6.427	6.428	6.427	0.14
